,namespace,grade,Número de exercícios por turma
631,overabelcabral,ef 3o ano,5.0
632,colegiopremium,ef 5o ano,5.0
633,conexaosaber,ef 5o ano,5.0
634,acessoalmirantetamandare,ef 3o ano,5.0
635,stellamarisxaxim,ef 1o ano,4.0
636,colegioeag,ef 5o ano,4.0
637,ipdhsolucoes,outro,4.0
638,overmarciliofurtado,ef 8o ano,4.0
639,joaorosa,ef 6o ano,4.0
640,joaorosa,ef 7o ano,4.0
641,novotempo,ef 5o ano,4.0
642,mocinhagomes,ef 6o ano,4.0
643,mariliamattoso,ef 8o ano,4.0
644,contemporaneocidadeverde,ef 5o ano,4.0
645,escolaceciliameireles,ef 2o ano,4.0
646,qescola,em 2a serie,4.0
647,amaisteste,ef 6o ano,4.0
648,amaisteste,ef 9o ano,4.0
649,ciadosaber,ef 6o ano,4.0
650,colegiouirapuru,ef 8o ano,4.0
