,namespace,Semana,Número de AAs por turma
563,cursoenfase,36,0.6666666666666666
564,cursoisfera,25,4.25
565,cursoisfera,26,3.75
566,cursoisfera,27,1.0
567,cursoisfera,28,1.6666666666666667
568,cursoisfera,29,1.0
569,cursoisfera,30,1.0
570,cursoisfera,31,3.0
571,cursoisfera,32,2.142857142857143
572,cursoisfera,33,1.8571428571428572
573,cursoisfera,34,2.5
574,cursoisfera,35,2.0
575,cursoisfera,36,1.4285714285714286
576,cursoisfera,37,5.0
577,cursoleopoldo,32,0.2
578,cursoleopoldo,34,0.2
579,cursoleopoldo,36,0.2
580,cursoprogressao,32,1.0
581,cursosazambuja,25,0.13333333333333333
582,cursosazambuja,26,0.18181818181818182
583,cursosazambuja,27,0.3333333333333333
584,cursosazambuja,28,0.6666666666666666
585,cursosazambuja,29,0.20754716981132076
586,cursosazambuja,30,0.2857142857142857
587,cursosazambuja,31,0.4
588,cursosazambuja,33,0.5555555555555556
589,cursosazambuja,34,0.13333333333333333
590,cursosazambuja,35,0.3333333333333333
591,cursosazambuja,37,0.6666666666666666
592,dante,33,0.3333333333333333
593,deltaeducacional,25,1.0
594,deltaeducacional,26,2.0
595,deltaeducacional,32,2.0
596,deltaeducacional,33,3.0
597,deltaeducacional,34,7.0
598,deltaeducacional,35,8.0
599,deltaeducacional,36,4.0
600,deltaeducacional,37,7.0
601,dommga,25,2.0
602,domus,33,0.3333333333333333
603,domus,34,0.3333333333333333
604,eacorcovado,25,3.0
605,eacorcovado,31,1.0
606,eacorcovado,32,1.0
607,eacorcovado,33,1.0
608,eacorcovado,35,0.5
609,eacorcovado,37,1.0
610,eccos,25,1.1818181818181819
611,eccos,26,0.8
612,eccos,31,1.0
613,eccos,32,1.7777777777777777
614,eccos,33,1.125
615,eccos,34,1.5714285714285714
616,eccos,35,1.5
617,eccos,36,1.5
618,eccos,37,2.0
619,educamais,33,1.0
620,educandarioterciocorreia,25,2.2857142857142856
621,educandarioterciocorreia,26,2.2857142857142856
622,educandarioterciocorreia,31,1.0
623,educandarioterciocorreia,32,1.5
624,educandarioterciocorreia,33,3.2857142857142856
625,educandarioterciocorreia,34,2.857142857142857
626,educandarioterciocorreia,35,0.5
627,educandarioterciocorreia,37,0.6666666666666666
628,educarse,32,4.0
629,educarse,33,1.0
630,eduqo,32,1.0
631,einsteinassis,25,3.142857142857143
632,einsteinassis,32,1.3333333333333333
633,einsteinassis,35,0.5
634,elitecuritibaemilianoperneta,25,4.0
635,elitecuritibaemilianoperneta,26,7.0
636,elitecuritibaemilianoperneta,27,0.3333333333333333
637,elitecuritibaemilianoperneta,29,0.5
638,elitecuritibaemilianoperneta,30,0.75
639,elitecuritibaemilianoperneta,31,2.3333333333333335
640,elitecuritibaemilianoperneta,32,2.0
641,elitecuritibaemilianoperneta,33,0.2
642,elitecuritibaemilianoperneta,34,1.4
643,elitecuritibaemilianoperneta,35,3.0
644,elitecuritibaemilianoperneta,37,2.2
645,eluneonline,26,0.5
646,eluneonline,27,1.0
647,equipe,34,1.0
648,escola,34,1.0
649,escolaceciliameireles,26,2.0
650,escolaceciliameireles,27,3.25
651,escolaceciliameireles,28,1.0
652,escolaceciliameireles,30,1.0
653,escolaceciliameireles,31,1.5
654,escolaceciliameireles,32,3.0
655,escolaceciliameireles,33,1.6666666666666667
656,escolaceciliameireles,35,1.5
657,escolaceciliameireles,36,2.0
658,escolaceciliameireles,37,2.0
659,escoladeimpacto,28,0.6666666666666666
660,escoladinamicaiturama,33,1.0
661,escoladofuturo,36,1.0
