,namespace,Semana,Porcentagem de engajamento em AAs
54,acessofazendariogrande,37,0.7238461538461538
609,eccos,25,0.7215657311669128
519,contemporaneocidadeverde,32,0.7210983575369395
749,macvest,32,0.7192982456140351
1235,villalobos,35,0.7144492786810167
93,acessosjpinhais,31,0.7130183220829316
1034,prismapatrocinio,32,0.7100331331538621
385,colegiofuturageracao,35,0.7072072072072072
766,maplebearslz,37,0.7048039382108301
791,master,36,0.704468802698145
377,colegioflamingo,36,0.7024275646045419
892,overpontanegra,32,0.7020564323290291
747,macvest,26,0.7017543859649122
634,elitecuritibaemilianoperneta,26,0.7010869565217391
536,crb,25,0.7009685230024213
1188,stellamarisjuveve,37,0.7008663156106676
1030,prismapatrocinio,27,0.6993656196812625
908,overzonanorte,37,0.6964809384164223
716,invictus,25,0.6954887218045113
1180,stellamarisjuveve,27,0.6949152542372882
531,coopermundi,36,0.6923076923076923
266,colegioarena,37,0.6921641791044776
956,physicsmacapa,33,0.691515074418013
895,overpontanegra,35,0.6908887646730016
3,acessoalmirantetamandare,30,0.6907216494845361
968,pioxi,25,0.6882051282051282
10,acessoalmirantetamandare,37,0.6868686868686869
413,colegiointegral,28,0.6855553585675028
339,colegioecursodesafio,37,0.6843478900161741
142,apogeustoantonio2,34,0.6818181818181818
802,mundialfranciscobeltrao,36,0.6818181818181818
1214,universitariolondrina,36,0.681609788457286
398,colegioguilhermedealmeida,33,0.6812114989733059
928,physicsaugustomontenegro,33,0.6796649936146832
891,overpontanegra,31,0.6786688488816148
778,mariliamattoso,36,0.6780590448256073
601,domus,33,0.6764705882352942
217,ceprimeiromundo,27,0.673442122339918
897,overpontanegra,37,0.6720330782088502
182,cats,35,0.6716177523264137
945,physicscidadenova,36,0.6712573985852461
523,contemporaneocidadeverde,37,0.6697530864197531
76,acessosantafelicidade,25,0.6695999408415293
1011,porto,25,0.6687293572757298
218,ceprimeiromundo,28,0.6675929474894595
953,physicsconselheirofurtado,36,0.6674561204295494
740,jazzvestibular,35,0.6666666666666666
47,acessofazendariogrande,30,0.6666666666666666
741,jazzvestibular,36,0.6666666666666666
140,apogeustoantonio2,31,0.6666666666666666
756,magister,33,0.6666666666666666
16,acessoboqueirao,30,0.6662292735297626
1169,spdacruz,35,0.6639276910435498
630,einsteinassis,25,0.6624242424242425
25,acessocampolargo,26,0.6612285818446956
199,ceespacolivre,26,0.6611111111111111
640,elitecuritibaemilianoperneta,33,0.6608695652173913
541,crb,33,0.6589884827240862
699,institutoeurofarma,32,0.6567164179104478
518,contemporaneocidadeverde,31,0.6560277220499726
1062,progressaodc,36,0.6557377049180327
707,integradaeducativa,26,0.6554307116104869
925,physicsalmirantebarroso,37,0.6512605042016807
1215,universitariolondrina,37,0.649980127562125
943,physicscidadenova,34,0.6492248062015504
