,namespace,grade,numero_ex
461,contemporaneocidadeverde,ef 8o ano,80.0
462,contemporaneocidadeverde,ef 9o ano,311.0
463,contemporaneocidadeverde,em 1a serie,294.0
464,contemporaneocidadeverde,em 2a serie,314.0
465,contemporaneocidadeverde,em 3a serie,321.0
466,contemporaneolagoanova,ef 6o ano,100.0
467,contemporaneolagoanova,ef 7o ano,100.0
468,contemporaneolagoanova,ef 8o ano,115.0
469,contemporaneolagoanova,ef 9o ano,240.66666666666666
470,contemporaneolagoanova,em 1a serie,304.0
471,contemporaneolagoanova,em 2a serie,342.0
472,contemporaneolagoanova,em 3a serie,321.0
473,coopermundi,ef 6o ano,1.0
474,coopermundi,ef 7o ano,1.0
475,coopermundi,ef 8o ano,1.0
476,cotemig,em 1a serie,1.0
477,crb,ef 6o ano,92.94444444444444
478,crb,ef 7o ano,92.66666666666667
479,crb,ef 8o ano,62.476190476190474
480,crb,ef 9o ano,65.52173913043478
481,crb,em 1a serie,310.5
482,crb,em 2a serie,340.25
483,crb,em 3a serie,190.42857142857142
484,crb,outro,26.77777777777778
485,crescercampinas,ef 6o ano,82.57142857142857
486,crescercampinas,ef 7o ano,77.83333333333333
487,crescercampinas,ef 8o ano,76.2
488,crescercampinas,ef 9o ano,68.28571428571429
489,crescercampinas,em 1a serie,147.25
490,crescercampinas,em 2a serie,221.0
491,crescercampinas,em 3a serie,206.5
492,cursoenfase,outro,204.6
493,cursoisfera,outro,98.14285714285714
494,cursoleopoldo,em 3a serie,135.0
495,cursoleopoldo,outro,135.0
496,cursosazambuja,outro,127.48
497,dante,em 3a serie,8.0
498,deltaeducacional,em 1a serie,94.0
499,deltaeducacional,em 2a serie,30.0
500,deltaeducacional,em 3a serie,60.0
501,dommga,em 3a serie,271.0
502,domus,em 1a serie,186.0
503,domus,em 2a serie,186.0
504,domus,em 3a serie,186.0
505,eacorcovado,ef 8o ano,2.0
506,eacorcovado,em 1a serie,2.0
507,eacorcovado,em 2a serie,22.0
508,eacorcovado,em 3a serie,16.0
509,eacorcovado,outro,1.0
510,eccos,ef 3o ano,19.5
511,eccos,ef 4o ano,7.0
512,eccos,ef 5o ano,19.666666666666668
513,eccos,ef 6o ano,13.333333333333334
514,eccos,ef 7o ano,37.5
515,eccos,ef 8o ano,29.75
516,eccos,ef 9o ano,21.25
517,educamais,ef 6o ano,5.0
518,educandarioterciocorreia,ef 3o ano,96.0
519,educandarioterciocorreia,ef 4o ano,97.0
520,educandarioterciocorreia,ef 5o ano,75.0
521,educandarioterciocorreia,ef 6o ano,146.0
522,educandarioterciocorreia,ef 7o ano,120.0
523,educandarioterciocorreia,ef 8o ano,179.0
524,educandarioterciocorreia,ef 9o ano,154.0
525,educarse,outro,186.0
526,einsteinassis,ef 6o ano,41.0
527,einsteinassis,ef 7o ano,29.0
528,einsteinassis,ef 8o ano,7.0
529,einsteinassis,ef 9o ano,38.0
530,einsteinassis,em 1a serie,19.0
531,einsteinassis,em 2a serie,25.0
532,einsteinassis,em 3a serie,25.0
533,elitecuritibaemilianoperneta,em 1a serie,570.0
534,elitecuritibaemilianoperneta,em 2a serie,577.0
535,elitecuritibaemilianoperneta,em 3a serie,474.0
536,elitecuritibaemilianoperneta,outro,364.0
537,eluneonline,em 1a serie,6.0
538,escola,ef 4o ano,3.0
539,escolaceciliameireles,ef 2o ano,72.0
540,escolaceciliameireles,ef 3o ano,5.0
541,escolaceciliameireles,ef 4o ano,202.0
542,escolaceciliameireles,ef 5o ano,199.0
543,escolaceciliameireles,ef 6o ano,145.0
544,escolamaster,em 1a serie,232.16666666666666
545,escolamaster,em 2a serie,244.0
546,escolamaster,em 3a serie,249.33333333333334
547,escprogressiva,em 1a serie,134.0
548,estantemagica,outro,91.0
549,faculdadeflamingo,outro,22.666666666666668
550,francobrasileiro,em 3a serie,510.6666666666667
551,gerabixo,outro,100.0
552,idaam,em 3a serie,186.0
553,implantacao,outro,33.0
554,insa,em 1a serie,211.0
555,insa,em 2a serie,143.0
556,insa,em 3a serie,324.0
557,institutoauxiliadoradf,em 1a serie,201.0
558,institutoauxiliadoradf,em 2a serie,221.0
559,institutoauxiliadoradf,em 3a serie,241.0
560,institutocristao,ef 6o ano,138.0
561,institutocristao,ef 7o ano,63.0
562,institutocristao,ef 9o ano,35.0
563,institutocristao,em 2a serie,50.0
564,institutocristao,em 3a serie,15.0
565,institutoeurofarma,outro,36.42857142857143
566,institutosaojose,em 1a serie,201.0
567,institutosaojose,em 2a serie,221.0
568,institutosaojose,em 3a serie,241.0
569,integra,ef 1o ano,7.0
570,integra,ef 2o ano,13.0
571,integra,ef 3o ano,17.0
572,integra,ef 4o ano,21.0
573,integra,ef 5o ano,39.0
574,integra,ef 6o ano,33.0
575,integra,ef 7o ano,41.0
576,integra,ef 8o ano,55.0
577,integradaeducativa,ef 6o ano,16.142857142857142
578,integradaeducativa,ef 7o ano,15.4
579,integradaeducativa,ef 8o ano,14.0
580,integradaeducativa,ef 9o ano,13.533333333333333
581,integradaeducativa,em 1a serie,7.375
582,integradaeducativa,em 2a serie,7.294117647058823
583,integradaeducativa,em 3a serie,8.181818181818182
584,invictus,ef 6o ano,179.0
585,invictus,ef 7o ano,251.0
586,invictus,ef 8o ano,246.0
587,invictus,ef 9o ano,248.0
588,invictus,em 1a serie,293.0
589,invictus,em 2a serie,316.0
590,invictus,em 3a serie,189.0
591,invictus,outro,24.0
592,iracemarufino,infantil iii,1.0
593,isem,ef 3o ano,22.0
594,isem,ef 4o ano,22.0
595,isem,ef 5o ano,21.0
596,isem,ef 6o ano,79.75
597,isem,ef 7o ano,66.6
598,isem,ef 8o ano,93.5
599,isem,ef 9o ano,92.0
600,itamarati,ef 8o ano,16.5
601,jazzvestibular,outro,150.0
602,joaobelem,ef 6o ano,11.0
603,joaobelem,ef 9o ano,9.0
604,lasalleaguasclaras,em 1a serie,201.0
605,lasalleaguasclaras,em 2a serie,221.0
606,lasalleaguasclaras,em 3a serie,241.0
607,liessinbarra,ef 8o ano,10.0
608,litteratus,ef 5o ano,17.0
