,namespace,grade,Tempo de correção por aluno por questão
30,ceespacolivre,ef 7o ano,0 days 16:45:09.151614200
31,ceespacolivre,em 1a serie,0 days 05:57:57.111497333
32,ceespacolivre,em 2a serie,0 days 15:56:26.221781545
33,ciadosaber,ef 6o ano,0 days 20:21:35.009736
34,colegioalphaunis,ef 6o ano,0 days 12:25:50.999400
35,colegioalphaunis,ef 7o ano,0 days 07:32:07.670142
36,colegioalphaunis,ef 8o ano,0 days 03:47:18.213198625
37,colegioalphaunis,ef 9o ano,0 days 00:49:58.028466
38,colegiobatistaindependente,ef 6o ano,0 days 02:12:31.902524200
39,colegiobatistaindependente,ef 7o ano,0 days 01:52:16.069560166
40,colegiobatistaindependente,ef 8o ano,1 days 17:43:54.808628666
41,colegiobatistaindependente,ef 9o ano,0 days 00:55:57.935614142
42,colegiobatistaindependente,em 1a serie,0 days 11:49:57.414091
43,colegiobatistaindependente,em 2a serie,0 days 00:45:46.352105
44,colegiobatistaindependente,em 3a serie,0 days 11:10:51.754999
45,colegiobatistaindependente,outro,-1 days +23:59:52.370839
46,colegiobetelbrasileirosp,ef 6o ano,0 days 04:21:04.486874
47,colegiobetelbrasileirosp,ef 7o ano,0 days 06:45:46.924356750
48,colegiobetelbrasileirosp,ef 8o ano,0 days 04:56:34.094440600
49,colegiobetelbrasileirosp,ef 9o ano,0 days 08:29:10.110229
50,colegiobetelbrasileirosp,em 1a serie,0 days 07:56:52.120160666
51,colegiobetelbrasileirosp,em 2a serie,0 days 07:21:06.153908666
52,colegiobetelbrasileirosp,em 3a serie,1 days 09:09:37.197917500
53,colegiobilac,ef 3o ano,0 days 00:04:48.445558
54,colegiobilac,ef 4o ano,-1 days +22:42:30.237686667
55,colegiobilac,ef 5o ano,0 days 00:04:39.075301
56,colegiobilac,ef 6o ano,0 days 00:36:25.999617333
57,colegiobilac,ef 8o ano,0 days 02:07:14.983004545
58,colegiobilac,ef 9o ano,0 days 03:06:25.051492800
59,colegiobrasilia,em 1a serie,0 days 06:06:04.830901500
60,colegiobrasilia,outro,0 days 03:46:17.262368
61,colegiocb,ef 6o ano,0 days 01:12:22.630202375
62,colegiocb,ef 7o ano,0 days 00:42:53.180798200
63,colegiocb,ef 8o ano,0 days 01:01:38.216092400
64,colegiocb,ef 9o ano,0 days 00:28:35.338782250
65,colegiocb,em 2a serie,0 days 01:42:35.746974666
66,colegiocb,em 3a serie,0 days 02:08:55.621834750
67,colegiodasamericas,ef 6o ano,0 days 01:13:29.296221600
68,colegiodasamericas,ef 7o ano,0 days 00:15:15.915336
69,colegiodasamericas,ef 8o ano,0 days 07:41:17.877426200
