,namespace,grade,Número de AAs por turma
382,colegionovageracao,ef 9o ano,1.0
383,colegionovageracao,em 1a serie,3.0
384,colegionovageracao,em 2a serie,3.0
385,colegionovageracao,em 3a serie,3.0
386,colegionovopatio,em 1a serie,1.0
387,colegioplanck,ef 6o ano,1.5714285714285714
388,colegioplanck,ef 7o ano,1.375
389,colegioplanck,ef 8o ano,1.7058823529411764
390,colegioplanck,ef 9o ano,1.4
391,colegioplanck,em 1a serie,1.4193548387096775
392,colegioplanck,em 2a serie,1.1666666666666667
393,colegioplanck,em 3a serie,1.8571428571428572
394,colegioplanck,outro,3.0
395,colegiopremium,ef 1o ano,5.0
396,colegiopremium,ef 2o ano,6.0
397,colegiopremium,ef 3o ano,5.0
398,colegiopremium,ef 4o ano,5.0
399,colegiopremium,ef 5o ano,6.0
400,colegiopremium,ef 6o ano,5.0
401,colegiopremium,ef 7o ano,6.0
402,colegiopremium,ef 8o ano,4.0
403,colegiopremium,ef 9o ano,3.6666666666666665
404,colegiopremium,em 1a serie,4.5
405,colegiopremium,em 2a serie,3.0
406,colegiopremium,em 3a serie,8.0
407,colegioser,outro,1.0
408,colegiosete,ef 1o ano,6.5
409,colegiosete,ef 2o ano,3.6666666666666665
410,colegiosete,ef 3o ano,9.5
411,colegiosete,ef 4o ano,6.0
412,colegiosete,ef 5o ano,8.8
413,colegiosete,ef 6o ano,13.5
414,colegiosete,ef 7o ano,8.666666666666666
415,colegiosete,ef 8o ano,13.0
416,colegiosete,ef 9o ano,13.0
417,colegiosete,em 1a serie,16.5
418,colegiosete,em 2a serie,16.5
419,colegiosete,em 3a serie,16.5
420,colegiouirapuru,ef 3o ano,5.5
421,colegiouirapuru,ef 4o ano,8.2
422,colegiouirapuru,ef 5o ano,5.428571428571429
423,colegiouirapuru,ef 6o ano,2.6
424,colegiouirapuru,ef 7o ano,0.2
425,colegiouirapuru,ef 8o ano,1.6666666666666667
426,colegiouirapuru,ef 9o ano,1.0
427,colegiouirapuru,em 1a serie,0.8
428,colegiouirapuru,em 2a serie,1.0
429,colegiouirapuru,em 3a serie,1.25
430,colegiouniverso,ef 6o ano,4.0
431,colegiouniverso,ef 7o ano,4.0
432,colegiouniverso,ef 8o ano,4.0
433,colegiouniverso,ef 9o ano,2.0
434,colegiouniverso,em 1a serie,7.0
435,colegiouniverso,em 2a serie,4.0
436,colegiouniverso,em 3a serie,6.0
437,colegioup,ef 6o ano,9.0
438,colegioup,ef 7o ano,10.0
439,colegioup,ef 8o ano,9.333333333333334
440,colegioup,ef 9o ano,12.333333333333334
441,colegioup,em 1a serie,9.0
442,colegioup,em 2a serie,8.0
443,colegioup,em 3a serie,20.666666666666668
444,colsantacatarinape,em 1a serie,2.0
445,colsantacatarinape,em 2a serie,2.0
446,colsantacatarinape,em 3a serie,3.0
447,conexaosaber,ef 1o ano,5.5
448,conexaosaber,ef 2o ano,5.5
449,conexaosaber,ef 3o ano,23.0
450,conexaosaber,ef 4o ano,7.0
451,conexaosaber,ef 5o ano,11.0
452,conexaosaber,ef 6o ano,9.0
453,conexaosaber,ef 7o ano,11.0
454,conexaosaber,ef 8o ano,10.0
455,conexaosaber,ef 9o ano,12.0
456,contemporaneo,em 3a serie,3.0
457,contemporaneocidadeverde,ef 3o ano,1.0
458,contemporaneocidadeverde,ef 5o ano,6.0
459,contemporaneocidadeverde,ef 6o ano,10.0
460,contemporaneocidadeverde,ef 7o ano,10.5
461,contemporaneocidadeverde,ef 8o ano,7.666666666666667
