,namespace,Semana,creation,Número de visualizações de relatórios de atividade avaliativa,user_id
592,overjoaopessoa,0,2021-09-29,18,31
593,overjoaopessoa,0,2021-09-30,23,31
594,overjoaopessoa,0,2021-10-02,6,31
595,overlimaesilva,0,2021-09-24,5,21
596,overlimaesilva,0,2021-09-25,3,21
597,overlimaesilva,0,2021-09-26,8,21
598,overlimaesilva,0,2021-09-27,16,21
599,overlimaesilva,0,2021-09-28,46,21
600,overlimaesilva,0,2021-09-29,24,21
601,overlimaesilva,0,2021-09-30,55,21
602,overlimaesilva,0,2021-10-01,5,21
603,overlimaesilva,0,2021-10-02,10,21
604,overmarciliofurtado,0,2021-09-24,56,53
605,overmarciliofurtado,0,2021-09-25,48,53
