,namespace,Semana,Porcentagem de engajamento em série de exercícios
616,moaciralves,35,0.1694915254237288
772,portinari,34,0.16926049987116723
302,colegioecursoprogressao,31,0.1689173723964294
697,physicsalmirantebarroso,29,0.1676470588235294
642,overabelcabral,34,0.16740237691001697
619,novotempo,34,0.16666666666666666
215,ceprimeiromundo,26,0.16611842105263158
356,colegioiguatemy,36,0.1655328798185941
614,moaciralves,33,0.1654210264075735
366,colegiointegral,33,0.1650027844986801
672,overpontanegra,32,0.16477272727272727
726,physicscidadenova,25,0.16421216475095785
194,ceabb,35,0.1639784946236559
364,colegiointegral,31,0.1632354269802697
304,colegioecursoprogressao,33,0.16278613985575416
851,santoamerico,29,0.16091954022988506
269,colegiodasamericas,33,0.16085916615860807
819,progressaoig,33,0.1607565011820331
597,macvest,34,0.16045925511061326
363,colegiointegral,30,0.16008247356255184
574,jazzvestibular,36,0.1597222222222222
21,acessoboqueirao,25,0.15935502614758862
406,colegiouirapuru,33,0.15906890600665066
365,colegiointegral,32,0.15873213788623922
749,physicsumarizal,25,0.1582010582010582
774,portinari,36,0.15809379727685324
942,villalobos,28,0.15715759312320918
472,einsteinassis,26,0.15713575335653904
296,colegioecursoprogressao,25,0.15696136507581684
723,physicsbatistacampos,36,0.15642437725664685
453,eccos,27,0.15631313131313132
666,overpontanegra,24,0.15625
891,stellamarisjuveve,31,0.15612694000463284
641,overabelcabral,33,0.15520345696795101
922,universitariolondrina,34,0.154589046857912
846,santamariacn,34,0.15413533834586465
884,stellamarisaguaverde,35,0.15384615384615385
440,eacorcovado,26,0.1537322553351509
144,apogeustoantonio2,24,0.15357905982905984
362,colegiointegral,29,0.15328528939865566
766,portinari,28,0.15170233427522106
131,amadeus,30,0.15166136954637388
2,abdiasmartins,33,0.1514218009478673
408,colegiouirapuru,35,0.15071129132018418
270,colegiodasamericas,34,0.1495558911968074
845,santamariacn,33,0.14786967418546365
114,aescobjetivo,24,0.14747191011235955
940,villalobos,26,0.14672156550228008
814,progressaoig,25,0.1465811965811966
398,colegiosete,36,0.1465187452180566
413,colegiouniverso,33,0.14634146341463414
827,psantagema,33,0.14588189588189587
607,mariliamattoso,35,0.14565826330532214
818,progressaoig,31,0.1452991452991453
134,amadeus,33,0.14496393611540442
130,amadeus,29,0.14486492713553367
491,elitecuritibaemilianoperneta,36,0.14473684210526316
606,mariliamattoso,34,0.144
853,santoamerico,31,0.14380164449277866
648,overjoaopessoa,32,0.14285714285714285
640,overabelcabral,32,0.14161996943453897
816,progressaoig,27,0.14102564102564102
409,colegiouirapuru,36,0.14088709677419356
118,alpha,25,0.14078374455732948
295,colegioecursoprogressao,24,0.14058265582655827
920,universitariolondrina,32,0.14028795278795278
359,colegiointegral,26,0.14022306170174492
407,colegiouirapuru,34,0.1399163179916318
808,progressaodc,31,0.1384992987377279
744,physicsmacapa,33,0.13822525597269625
368,colegiointegral,35,0.13755612830051336
20,acessoboqueirao,24,0.1370217352254356
308,colegioecursoprogressao,37,0.13690476190476192
505,francobrasileiro,31,0.13671875
439,eacorcovado,25,0.13660191181005243
4,abdiasmartins,35,0.13636363636363635
265,colegiodasamericas,26,0.13611437524481002
293,colegioecursodesafio,36,0.13568815729309555
143,antoniomelo,34,0.13387978142076504
180,cats,34,0.13322884012539185
857,santoamerico,35,0.13213655091230136
887,stellamarisjuveve,25,0.13121345029239767
654,overmarciliofurtado,31,0.1308411214953271
948,villalobos,34,0.1307556608517057
896,stellamarisjuveve,36,0.13033750474023512
300,colegioecursoprogressao,29,0.13031914893617022
554,integradaeducativa,25,0.12983770287141075
947,villalobos,33,0.129779246133053
132,amadeus,31,0.12921855810318403
695,physicsalmirantebarroso,25,0.12919463087248323
253,colegiocb,26,0.12879256965944272
804,progressaodc,26,0.12873563218390804
932,universobarcarena,36,0.12808628219983956
373,colegiojoaopaulo,26,0.12796307950492972
268,colegiodasamericas,32,0.1277994833365358
859,santoamerico,37,0.1273697426239799
367,colegiointegral,34,0.12716586787143977
600,mariliamattoso,24,0.12658227848101267
670,overpontanegra,30,0.12649164677804295
639,overabelcabral,31,0.12543621558743698
945,villalobos,31,0.12516096211627425
644,overabelcabral,36,0.12511627906976744
637,overabelcabral,29,0.125
403,colegiouirapuru,29,0.12451108213820078
885,stellamarisaguaverde,36,0.12444444444444444
126,alpha,35,0.1238929917568106
555,integradaeducativa,26,0.12316176470588236
854,santoamerico,32,0.12296352373693714
447,eacorcovado,35,0.12216047238624522
809,progressaodc,32,0.12207625760974047
848,santoamerico,24,0.12171052631578948
307,colegioecursoprogressao,36,0.1215208295433873
587,litteratus,26,0.12130937098844673
931,universobarcarena,35,0.12101910828025478
557,integradaeducativa,31,0.12074897446076485
917,universitariolondrina,29,0.12013734156408665
633,objetivolorena,37,0.12
645,overabelcabral,37,0.11992263056092843
724,physicsbatistacampos,37,0.11991307783484789
